"scenario_b_start","scenario_label","scheme_id","scheme_label","rand_mode","rand_label","bias_policy_base","bias_policy_full","alloc_bias","series","rate"
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0,"A",0.59695
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0,"B",0.595625
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0,"FWER",0.758175
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.04,"A",0.65115
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.04,"B",0.6494
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.04,"FWER",0.805675
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.08,"A",0.696075
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.08,"B",0.701875
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.08,"FWER",0.84395
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.12,"A",0.7413
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.12,"B",0.7422
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.12,"FWER",0.874625
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.16,"A",0.777825
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.16,"B",0.783275
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.16,"FWER",0.9017
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.2,"A",0.816925
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.2,"B",0.81385
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.2,"FWER",0.9226
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0,"A",0.60235
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0,"B",0.5963
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0,"FWER",0.761
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.04,"A",0.615575
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.04,"B",0.613625
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.04,"FWER",0.774325
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.08,"A",0.6287
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.08,"B",0.625525
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.08,"FWER",0.78555
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.12,"A",0.635
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.12,"B",0.632875
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.12,"FWER",0.792575
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.16,"A",0.6463
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.16,"B",0.645675
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.16,"FWER",0.801725
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.2,"A",0.659675
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.2,"B",0.6584
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.2,"FWER",0.8126
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0,"A",0.59405
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0,"B",0.58865
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0,"FWER",0.758075
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.04,"A",0.59565
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.04,"B",0.595275
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.04,"FWER",0.7603
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.08,"A",0.60025
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.08,"B",0.602175
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.08,"FWER",0.767275
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.12,"A",0.606875
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.12,"B",0.608125
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.12,"FWER",0.7718
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.16,"A",0.610275
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.16,"B",0.605175
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.16,"FWER",0.773975
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.2,"A",0.613225
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.2,"B",0.61185
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_all_exp","favor_all_exp",0.2,"FWER",0.77725
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0,"A",0.5997
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0,"B",0.59835
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0,"FWER",0.760625
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.04,"A",0.62505
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.04,"B",0.655425
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.04,"FWER",0.79765
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.08,"A",0.6489
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.08,"B",0.6963
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.08,"FWER",0.8244
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.12,"A",0.676825
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.12,"B",0.73965
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.12,"FWER",0.85345
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.16,"A",0.695075
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.16,"B",0.7795
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.16,"FWER",0.8739
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.2,"A",0.7181
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.2,"B",0.82055
1,"Arm B start at 1","step1","1-step randomization","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.2,"FWER",0.898975
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0,"A",0.6023
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0,"B",0.59835
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0,"FWER",0.764
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.04,"A",0.613325
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.04,"B",0.6182
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.04,"FWER",0.77735
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.08,"A",0.61995
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.08,"B",0.638975
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.08,"FWER",0.787425
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.12,"A",0.62635
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.12,"B",0.654025
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.12,"FWER",0.79575
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.16,"A",0.631275
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.16,"B",0.669325
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.16,"FWER",0.80445
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.2,"A",0.6417
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.2,"B",0.687475
1,"Arm B start at 1","step1","1-step randomization","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.2,"FWER",0.816675
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0,"A",0.5889
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0,"B",0.59515
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0,"FWER",0.7597
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.04,"A",0.594925
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.04,"B",0.597675
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.04,"FWER",0.76245
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.08,"A",0.595625
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.08,"B",0.605125
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.08,"FWER",0.76685
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.12,"A",0.60595
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.12,"B",0.616875
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.12,"FWER",0.776025
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.16,"A",0.597575
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.16,"B",0.620525
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.16,"FWER",0.775
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.2,"A",0.6006
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.2,"B",0.62295
1,"Arm B start at 1","step1","1-step randomization","complete","Complete randomization","favor_B","favor_B",0.2,"FWER",0.77745
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0,"A",0.6022
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0,"B",0.598375
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0,"FWER",0.7619
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.04,"A",0.63865
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.04,"B",0.6422
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.04,"FWER",0.7965
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.08,"A",0.675725
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.08,"B",0.675325
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.08,"FWER",0.824225
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.12,"A",0.71205
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.12,"B",0.7119
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.12,"FWER",0.853225
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.16,"A",0.746475
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.16,"B",0.7394
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.16,"FWER",0.877025
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.2,"A",0.77345
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.2,"B",0.772275
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_all_exp","favor_all_exp",0.2,"FWER",0.89605
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0,"A",0.597075
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0,"B",0.5985
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0,"FWER",0.760525
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.04,"A",0.6091
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.04,"B",0.613475
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.04,"FWER",0.77425
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.08,"A",0.6256
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.08,"B",0.624275
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.08,"FWER",0.78275
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.12,"A",0.6366
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.12,"B",0.6388
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.12,"FWER",0.796025
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.16,"A",0.649775
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.16,"B",0.64705
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.16,"FWER",0.803275
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.2,"A",0.65585
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.2,"B",0.661225
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_all_exp","favor_all_exp",0.2,"FWER",0.8133
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0,"A",0.589375
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0,"B",0.5915
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0,"FWER",0.75755
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.04,"A",0.599725
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.04,"B",0.593675
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.04,"FWER",0.762675
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.08,"A",0.599875
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.08,"B",0.6011
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.08,"FWER",0.7657
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.12,"A",0.6027
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.12,"B",0.607
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.12,"FWER",0.768925
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.16,"A",0.606075
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.16,"B",0.603975
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.16,"FWER",0.772125
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.2,"A",0.617525
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.2,"B",0.60885
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_all_exp","favor_all_exp",0.2,"FWER",0.776275
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0,"A",0.601525
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0,"B",0.60205
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0,"FWER",0.763475
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.04,"A",0.622525
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.04,"B",0.644475
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.04,"FWER",0.790625
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.08,"A",0.64405
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.08,"B",0.67865
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.08,"FWER",0.8134
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.12,"A",0.65955
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.12,"B",0.7203
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.12,"FWER",0.83875
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.16,"A",0.6815
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.16,"B",0.75745
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.16,"FWER",0.8626
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.2,"A",0.696925
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.2,"B",0.788525
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","block","Permuted block randomization (factor = 1)","favor_B","favor_B",0.2,"FWER",0.880175
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0,"A",0.59995
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0,"B",0.59965
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0,"FWER",0.7601
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.04,"A",0.60295
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.04,"B",0.617575
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.04,"FWER",0.770525
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.08,"A",0.61235
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.08,"B",0.63375
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.08,"FWER",0.78185
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.12,"A",0.620725
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.12,"B",0.644425
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.12,"FWER",0.790275
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.16,"A",0.62455
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.16,"B",0.6571
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.16,"FWER",0.7977
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.2,"A",0.62905
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.2,"B",0.67025
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","bigstick","Big stick design (a = 3)","favor_B","favor_B",0.2,"FWER",0.804975
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_B","favor_B",0,"A",0.593375
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_B","favor_B",0,"B",0.58945
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_B","favor_B",0,"FWER",0.7606
1,"Arm B start at 1","step2_total","2-step randomization (total counts only)","complete","Complete randomization","favor_B","favor_B",0.04,"A",0.5912
