"b_start","panel","config","series","analysis_model","rate"
1,"Permuted block randomization (factor = 1)","favor_B (eta>0)","A","ttest",0.6535625
1,"Permuted block randomization (factor = 1)","favor_B (eta>0)","B","ttest",0.7021875
1,"Permuted block randomization (factor = 1)","favor_B (eta>0)","FWER","ttest",0.8291
1,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","A","ttest",0.583875
1,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","B","ttest",0.7178125
1,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","FWER","ttest",0.8133
1,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","A","ttest",0.7013875
1,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","B","ttest",0.7000375
1,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","FWER","ttest",0.8443
1,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","A","ttest",0.7032125
1,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","B","ttest",0.69995
1,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","FWER","ttest",0.845275
1,"Permuted block randomization (factor = 1)","PBR (eta=0)","A","ttest",0.602425
1,"Permuted block randomization (factor = 1)","PBR (eta=0)","B","ttest",0.601725
1,"Permuted block randomization (factor = 1)","PBR (eta=0)","FWER","ttest",0.7638
13,"Permuted block randomization (factor = 1)","favor_B (eta>0)","A","ttest",0.6394375
13,"Permuted block randomization (factor = 1)","favor_B (eta>0)","B","ttest",0.7508875
13,"Permuted block randomization (factor = 1)","favor_B (eta>0)","FWER","ttest",0.8552375
13,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","A","ttest",0.5830625
13,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","B","ttest",0.7605
13,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","FWER","ttest",0.84565
13,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","A","ttest",0.6995
13,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","B","ttest",0.7416125
13,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","FWER","ttest",0.8683125
13,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","A","ttest",0.70045
13,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","B","ttest",0.7418375
13,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","FWER","ttest",0.8703875
13,"Permuted block randomization (factor = 1)","PBR (eta=0)","A","ttest",0.59925
13,"Permuted block randomization (factor = 1)","PBR (eta=0)","B","ttest",0.64405
13,"Permuted block randomization (factor = 1)","PBR (eta=0)","FWER","ttest",0.793525
25,"Permuted block randomization (factor = 1)","favor_B (eta>0)","A","ttest",0.6248875
25,"Permuted block randomization (factor = 1)","favor_B (eta>0)","B","ttest",0.7941125
25,"Permuted block randomization (factor = 1)","favor_B (eta>0)","FWER","ttest",0.8811625
25,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","A","ttest",0.588025
25,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","B","ttest",0.7975375
25,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","FWER","ttest",0.874075
25,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","A","ttest",0.699575
25,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","B","ttest",0.7758
25,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","FWER","ttest",0.8904875
