"b_start","panel","analysis_model","config","t1e_A","t1e_B","fwer","alloc_bias_B"
1,"Permuted block randomization (factor = 1)","ttest","favor_B (eta>0)",0.0339375,0.0453,0.0708375,-0.00694635416666663
1,"Permuted block randomization (factor = 1)","ttest","favor_B_2step (eta>0)",0.022175,0.0507125,0.0665,-0.00706614583333328
1,"Permuted block randomization (factor = 1)","ttest","favor_all_exp (eta>0)",0.046575,0.0479875,0.083725,-0.00699322916666671
1,"Permuted block randomization (factor = 1)","ttest","favor_all_exp_2step (eta>0)",0.0451,0.0452875,0.0799375,-0.00697812499999998
1,"Permuted block randomization (factor = 1)","ttest","PBR (eta=0)",0.02425,0.0251625,0.0448125,NA
13,"Permuted block randomization (factor = 1)","ttest","favor_B (eta>0)",0.0307875,0.0508625,0.0741125,-0.105935251756537
13,"Permuted block randomization (factor = 1)","ttest","favor_B_2step (eta>0)",0.0238375,0.0539375,0.07185,-0.104795812653536
13,"Permuted block randomization (factor = 1)","ttest","favor_all_exp (eta>0)",0.0460375,0.0464875,0.0836375,-0.105976969492498
13,"Permuted block randomization (factor = 1)","ttest","favor_all_exp_2step (eta>0)",0.0442,0.0458625,0.0812,-0.104859626647701
13,"Permuted block randomization (factor = 1)","ttest","PBR (eta=0)",0.0255375,0.0256125,0.04735,NA
25,"Permuted block randomization (factor = 1)","ttest","favor_B (eta>0)",0.029175,0.0549125,0.07785,-0.19607888450735
25,"Permuted block randomization (factor = 1)","ttest","favor_B_2step (eta>0)",0.0234625,0.0544,0.072725,-0.195151809531293
25,"Permuted block randomization (factor = 1)","ttest","favor_all_exp (eta>0)",0.0447375,0.0471625,0.084325,-0.196167813821064
25,"Permuted block randomization (factor = 1)","ttest","favor_all_exp_2step (eta>0)",0.045575,0.04795,0.0859375,-0.195108028721381
25,"Permuted block randomization (factor = 1)","ttest","PBR (eta=0)",0.0253,0.02475,0.0473375,NA
37,"Permuted block randomization (factor = 1)","ttest","favor_B (eta>0)",0.0267875,0.056625,0.0783,-0.269737393276121
37,"Permuted block randomization (factor = 1)","ttest","favor_B_2step (eta>0)",0.02385,0.0558,0.0754625,-0.268857243073677
37,"Permuted block randomization (factor = 1)","ttest","favor_all_exp (eta>0)",0.046125,0.0484625,0.0876375,-0.269691531153002
37,"Permuted block randomization (factor = 1)","ttest","favor_all_exp_2step (eta>0)",0.0445375,0.049125,0.08685,-0.268938105821111
37,"Permuted block randomization (factor = 1)","ttest","PBR (eta=0)",0.0249875,0.0250625,0.0473,NA
49,"Permuted block randomization (factor = 1)","ttest","favor_B (eta>0)",0.02465,0.0595,0.0793625,-0.330940676672629
49,"Permuted block randomization (factor = 1)","ttest","favor_B_2step (eta>0)",0.0243625,0.0597,0.0799625,-0.330329797468492
49,"Permuted block randomization (factor = 1)","ttest","favor_all_exp (eta>0)",0.0454375,0.0502125,0.088975,-0.331007025777502
49,"Permuted block randomization (factor = 1)","ttest","favor_all_exp_2step (eta>0)",0.044825,0.0507625,0.089275,-0.330120266238879
49,"Permuted block randomization (factor = 1)","ttest","PBR (eta=0)",0.0245375,0.0252875,0.0476125,NA
1,"Permuted block randomization (factor = 1)","lm_time","favor_B (eta>0)",0.0345625,0.0459125,0.0713375,-0.00712135416666667
1,"Permuted block randomization (factor = 1)","lm_time","favor_B_2step (eta>0)",0.0235125,0.050475,0.0671125,-0.00690312500000001
1,"Permuted block randomization (factor = 1)","lm_time","favor_all_exp (eta>0)",0.0447875,0.0445375,0.078425,-0.0069270833333334
1,"Permuted block randomization (factor = 1)","lm_time","favor_all_exp_2step (eta>0)",0.0458875,0.04705,0.081925,-0.00693020833333335
1,"Permuted block randomization (factor = 1)","lm_time","PBR (eta=0)",0.024725,0.025425,0.0455375,NA
13,"Permuted block randomization (factor = 1)","lm_time","favor_B (eta>0)",0.030875,0.044725,0.0691875,-0.105968726862717
13,"Permuted block randomization (factor = 1)","lm_time","favor_B_2step (eta>0)",0.023025,0.052425,0.069825,-0.104852711617017
13,"Permuted block randomization (factor = 1)","lm_time","favor_all_exp (eta>0)",0.0462625,0.047525,0.0853375,-0.10601801141695
13,"Permuted block randomization (factor = 1)","lm_time","favor_all_exp_2step (eta>0)",0.0449875,0.0450875,0.081825,-0.104857855478128
13,"Permuted block randomization (factor = 1)","lm_time","PBR (eta=0)",0.0244,0.0241375,0.045575,NA
25,"Permuted block randomization (factor = 1)","lm_time","favor_B (eta>0)",0.0294,0.044475,0.06975,-0.196031340544392
25,"Permuted block randomization (factor = 1)","lm_time","favor_B_2step (eta>0)",0.02395,0.050975,0.070875,-0.195127111477525
25,"Permuted block randomization (factor = 1)","lm_time","favor_all_exp (eta>0)",0.0463125,0.0473,0.0867875,-0.196138729941123
25,"Permuted block randomization (factor = 1)","lm_time","favor_all_exp_2step (eta>0)",0.0459875,0.0457875,0.0854,-0.195157887792634
25,"Permuted block randomization (factor = 1)","lm_time","PBR (eta=0)",0.024875,0.0239875,0.0467375,NA
37,"Permuted block randomization (factor = 1)","lm_time","favor_B (eta>0)",0.0275625,0.0444625,0.069475,-0.269685548034222
37,"Permuted block randomization (factor = 1)","lm_time","favor_B_2step (eta>0)",0.0243125,0.0488875,0.07045,-0.268907559817817
37,"Permuted block randomization (factor = 1)","lm_time","favor_all_exp (eta>0)",0.0452,0.0466125,0.0875875,-0.269710047186176
37,"Permuted block randomization (factor = 1)","lm_time","favor_all_exp_2step (eta>0)",0.0461,0.046975,0.08865,-0.268882514249901
37,"Permuted block randomization (factor = 1)","lm_time","PBR (eta=0)",0.024375,0.0257375,0.0488625,NA
49,"Permuted block randomization (factor = 1)","lm_time","favor_B (eta>0)",0.0253875,0.0457875,0.0699625,-0.330965754133532
49,"Permuted block randomization (factor = 1)","lm_time","favor_B_2step (eta>0)",0.02435,0.046575,0.0695625,-0.330230655392784
49,"Permuted block randomization (factor = 1)","lm_time","favor_all_exp (eta>0)",0.0447625,0.045525,0.0879,-0.331027626005484
49,"Permuted block randomization (factor = 1)","lm_time","favor_all_exp_2step (eta>0)",0.0450875,0.0457625,0.0885,-0.330281914205497
49,"Permuted block randomization (factor = 1)","lm_time","PBR (eta=0)",0.025,0.0255375,0.0496875,NA
1,"Big stick design (a = 3)","ttest","favor_B (eta>0)",0.0280625,0.03135,0.053625,-0.00417135416666673
1,"Big stick design (a = 3)","ttest","favor_B_2step (eta>0)",0.0196125,0.039,0.0534625,0.000303124999999997
1,"Big stick design (a = 3)","ttest","favor_all_exp (eta>0)",0.0287625,0.029825,0.0528,-0.00400156250000006
1,"Big stick design (a = 3)","ttest","favor_all_exp_2step (eta>0)",0.0308625,0.0298,0.0551625,6.71875000000099e-05
13,"Big stick design (a = 3)","ttest","favor_B (eta>0)",0.0274375,0.035075,0.0579125,-0.107343067204459
13,"Big stick design (a = 3)","ttest","favor_B_2step (eta>0)",0.0202375,0.0397875,0.055775,-0.104823468749073
13,"Big stick design (a = 3)","ttest","favor_all_exp (eta>0)",0.029575,0.0296,0.0544375,-0.107344321248869
13,"Big stick design (a = 3)","ttest","favor_all_exp_2step (eta>0)",0.029725,0.0310125,0.055875,-0.104965619971255
