"b_start","series","rate","panel","measure","analysis_model","config"
1,"A",0.579075,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
1,"B",0.58045,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
1,"FWER",0.7448125,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
13,"A",0.5876875,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
13,"B",0.70925,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
13,"FWER",0.8208875,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
25,"A",0.592375,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
25,"B",0.8126,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
25,"FWER",0.883875,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
37,"A",0.592775,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
37,"B",0.8779125,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
37,"FWER",0.9249875,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
49,"A",0.595075,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
49,"B",0.9158875,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
49,"FWER",0.949675,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
1,"A",0.5847125,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
1,"B",0.5856125,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
1,"FWER",0.7466,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
13,"A",0.598575,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
13,"B",0.620725,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
13,"FWER",0.784425,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
25,"A",0.5987875,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
25,"B",0.6320875,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
25,"FWER",0.8071625,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
37,"A",0.598825,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
37,"B",0.6286,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
37,"FWER",0.82365,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
49,"A",0.586925,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
49,"B",0.6038125,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
49,"FWER",0.8330125,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
1,"A",0.5828,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
