"b_start","series","rate","panel","measure","analysis_model","config"
1,"A",0.0229875,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
1,"B",0.0215625,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
1,"FWER",0.0406625,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
13,"A",0.0241375,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
13,"B",0.040375,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
13,"FWER",0.0596375,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
25,"A",0.024525,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
25,"B",0.0631625,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
25,"FWER",0.0819625,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
37,"A",0.023,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
37,"B",0.08845,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
37,"FWER",0.105875,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
49,"A",0.0252125,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
49,"B",0.1151625,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
49,"FWER",0.13335,"Permuted block randomization (factor = 1)","Type I error","ttest","Chronological bias (beta=0.826)"
1,"A",0.0221625,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
1,"B",0.022875,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
1,"FWER",0.0409,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
13,"A",0.02425,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
13,"B",0.023725,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
13,"FWER",0.0446125,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
25,"A",0.023725,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
25,"B",0.025125,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
25,"FWER",0.0466,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
37,"A",0.024825,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
37,"B",0.02395,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
37,"FWER",0.0471875,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
49,"A",0.0246625,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
49,"B",0.0253625,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
49,"FWER",0.0492375,"Permuted block randomization (factor = 1)","Type I error","lm_time","Chronological bias (beta=0.826)"
1,"A",0.022675,"Big stick design (a = 3)","Type I error","ttest","Chronological bias (beta=0.826)"
1,"B",0.0225875,"Big stick design (a = 3)","Type I error","ttest","Chronological bias (beta=0.826)"
