"b_start","series","rate","panel","analysis_model","chrono_key","measure"
1,"B",0.5837125,"Permuted block randomization (factor = 1)","ttest","linear","Power"
13,"B",0.7103625,"Permuted block randomization (factor = 1)","ttest","linear","Power"
25,"B",0.8117125,"Permuted block randomization (factor = 1)","ttest","linear","Power"
37,"B",0.8759125,"Permuted block randomization (factor = 1)","ttest","linear","Power"
49,"B",0.9145625,"Permuted block randomization (factor = 1)","ttest","linear","Power"
1,"B",0.586475,"Permuted block randomization (factor = 1)","lm_time","linear","Power"
13,"B",0.6185375,"Permuted block randomization (factor = 1)","lm_time","linear","Power"
25,"B",0.6319125,"Permuted block randomization (factor = 1)","lm_time","linear","Power"
37,"B",0.6288875,"Permuted block randomization (factor = 1)","lm_time","linear","Power"
49,"B",0.6034375,"Permuted block randomization (factor = 1)","lm_time","linear","Power"
1,"B",0.5806,"Big stick design (a = 3)","ttest","linear","Power"
13,"B",0.7090625,"Big stick design (a = 3)","ttest","linear","Power"
25,"B",0.8116875,"Big stick design (a = 3)","ttest","linear","Power"
37,"B",0.87405,"Big stick design (a = 3)","ttest","linear","Power"
49,"B",0.91315,"Big stick design (a = 3)","ttest","linear","Power"
1,"B",0.5898125,"Big stick design (a = 3)","lm_time","linear","Power"
13,"B",0.612325,"Big stick design (a = 3)","lm_time","linear","Power"
25,"B",0.62755,"Big stick design (a = 3)","lm_time","linear","Power"
37,"B",0.6264125,"Big stick design (a = 3)","lm_time","linear","Power"
49,"B",0.6013625,"Big stick design (a = 3)","lm_time","linear","Power"
1,"B",0.5786125,"Complete randomization","ttest","linear","Power"
13,"B",0.7045875,"Complete randomization","ttest","linear","Power"
25,"B",0.8015,"Complete randomization","ttest","linear","Power"
37,"B",0.8671,"Complete randomization","ttest","linear","Power"
49,"B",0.9068625,"Complete randomization","ttest","linear","Power"
1,"B",0.5743875,"Complete randomization","lm_time","linear","Power"
13,"B",0.594875,"Complete randomization","lm_time","linear","Power"
25,"B",0.610125,"Complete randomization","lm_time","linear","Power"
37,"B",0.61155,"Complete randomization","lm_time","linear","Power"
49,"B",0.59145,"Complete randomization","lm_time","linear","Power"
1,"B",0.599475,"Permuted block randomization (factor = 1)","ttest","stepwise","Power"
13,"B",0.717,"Permuted block randomization (factor = 1)","ttest","stepwise","Power"
25,"B",0.823725,"Permuted block randomization (factor = 1)","ttest","stepwise","Power"
37,"B",0.8981,"Permuted block randomization (factor = 1)","ttest","stepwise","Power"
49,"B",0.948075,"Permuted block randomization (factor = 1)","ttest","stepwise","Power"
1,"B",0.6042125,"Permuted block randomization (factor = 1)","lm_time","stepwise","Power"
13,"B",0.625125,"Permuted block randomization (factor = 1)","lm_time","stepwise","Power"
25,"B",0.6358625,"Permuted block randomization (factor = 1)","lm_time","stepwise","Power"
37,"B",0.63225,"Permuted block randomization (factor = 1)","lm_time","stepwise","Power"
49,"B",0.6072,"Permuted block randomization (factor = 1)","lm_time","stepwise","Power"
1,"B",0.5987875,"Big stick design (a = 3)","ttest","stepwise","Power"
13,"B",0.7131,"Big stick design (a = 3)","ttest","stepwise","Power"
